benchmark,type,key,value
gesummv,minimize-regs,lut,2327
gesummv,minimize-regs,dsp,12
gesummv,minimize-regs,meet_timing,1
gesummv,minimize-regs,registers,259
gesummv,minimize-regs,muxes,322
gesummv,minimize-regs,clb_registers,4771
gesummv,minimize-regs,carry8,20
gesummv,minimize-regs,f7_muxes,512
gesummv,minimize-regs,f8_muxes,256
gesummv,minimize-regs,f9_muxes,0
gesummv,minimize-regs,clb,7886
gesummv,minimize-regs,cell_lut1,4
gesummv,minimize-regs,cell_lut2,333
gesummv,minimize-regs,cell_lut3,285
gesummv,minimize-regs,cell_lut4,239
gesummv,minimize-regs,cell_lut5,95
gesummv,minimize-regs,cell_lut6,1659
gesummv,minimize-regs,cell_fdre,4771
syr2k,minimize-regs,lut,2727
syr2k,minimize-regs,dsp,15
syr2k,minimize-regs,meet_timing,1
syr2k,minimize-regs,registers,307
syr2k,minimize-regs,muxes,355
syr2k,minimize-regs,clb_registers,6825
syr2k,minimize-regs,carry8,18
syr2k,minimize-regs,f7_muxes,640
syr2k,minimize-regs,f8_muxes,64
syr2k,minimize-regs,f9_muxes,0
syr2k,minimize-regs,clb,10274
syr2k,minimize-regs,cell_lut1,5
syr2k,minimize-regs,cell_lut2,195
syr2k,minimize-regs,cell_lut3,382
syr2k,minimize-regs,cell_lut4,91
syr2k,minimize-regs,cell_lut5,90
syr2k,minimize-regs,cell_lut6,2246
syr2k,minimize-regs,cell_fdre,6825
ludcmp,minimize-regs,lut,1285
ludcmp,minimize-regs,dsp,12
ludcmp,minimize-regs,meet_timing,1
ludcmp,minimize-regs,registers,130
ludcmp,minimize-regs,muxes,185
ludcmp,minimize-regs,clb_registers,972
ludcmp,minimize-regs,carry8,44
ludcmp,minimize-regs,f7_muxes,0
ludcmp,minimize-regs,f8_muxes,0
ludcmp,minimize-regs,f9_muxes,0
ludcmp,minimize-regs,clb,2301
ludcmp,minimize-regs,cell_lut1,5
ludcmp,minimize-regs,cell_lut2,507
ludcmp,minimize-regs,cell_lut3,205
ludcmp,minimize-regs,cell_lut4,354
ludcmp,minimize-regs,cell_lut5,176
ludcmp,minimize-regs,cell_lut6,470
ludcmp,minimize-regs,cell_fdre,970
gemver,minimize-regs,lut,2449
gemver,minimize-regs,dsp,18
gemver,minimize-regs,meet_timing,1
gemver,minimize-regs,registers,279
gemver,minimize-regs,muxes,363
gemver,minimize-regs,clb_registers,3019
gemver,minimize-regs,carry8,32
gemver,minimize-regs,f7_muxes,258
gemver,minimize-regs,f8_muxes,128
gemver,minimize-regs,f9_muxes,0
gemver,minimize-regs,clb,5886
gemver,minimize-regs,cell_lut1,17
gemver,minimize-regs,cell_lut2,775
gemver,minimize-regs,cell_lut3,541
gemver,minimize-regs,cell_lut4,221
gemver,minimize-regs,cell_lut5,264
gemver,minimize-regs,cell_lut6,1175
gemver,minimize-regs,cell_fdre,3019
gemm,minimize-regs,lut,2561
gemm,minimize-regs,dsp,9
gemm,minimize-regs,meet_timing,1
gemm,minimize-regs,registers,284
gemm,minimize-regs,muxes,353
gemm,minimize-regs,clb_registers,6589
gemm,minimize-regs,carry8,10
gemm,minimize-regs,f7_muxes,768
gemm,minimize-regs,f8_muxes,62
gemm,minimize-regs,f9_muxes,0
