benchmark,type,key,value
gesummv,hls,total_lut,796
gesummv,hls,instance_lut,40
gesummv,hls,lut,756
gesummv,hls,dsp,12
gesummv,hls,avg_latency,532
gesummv,hls,best_latency,532
gesummv,hls,worst_latency,532
syr2k,hls,total_lut,766
syr2k,hls,instance_lut,40
syr2k,hls,lut,726
syr2k,hls,dsp,9
syr2k,hls,avg_latency,3712
syr2k,hls,best_latency,1012
syr2k,hls,worst_latency,6952
ludcmp,hls,total_lut,1634
ludcmp,hls,instance_lut,40
ludcmp,hls,lut,1594
ludcmp,hls,dsp,12
ludcmp,hls,avg_latency,1603
ludcmp,hls,best_latency,115
ludcmp,hls,worst_latency,5427
gemver,hls,total_lut,1378
gemver,hls,instance_lut,40
gemver,hls,lut,1338
gemver,hls,dsp,18
gemver,hls,avg_latency,1105
gemver,hls,best_latency,1105
gemver,hls,worst_latency,1105
gemm,hls,total_lut,673
gemm,hls,instance_lut,40
gemm,hls,lut,633
gemm,hls,dsp,9
gemm,hls,avg_latency,2684
gemm,hls,best_latency,2684
gemm,hls,worst_latency,2684
3mm,hls,total_lut,782
3mm,hls,instance_lut,40
3mm,hls,lut,742
3mm,hls,dsp,9
3mm,hls,avg_latency,5043
3mm,hls,best_latency,5043
3mm,hls,worst_latency,5043
atax,hls,total_lut,650
atax,hls,instance_lut,40
atax,hls,lut,610
atax,hls,dsp,6
atax,hls,avg_latency,715
atax,hls,best_latency,715
atax,hls,worst_latency,715
gramschmidt,hls,total_lut,4921
gramschmidt,hls,instance_lut,40
gramschmidt,hls,lut,4881
gramschmidt,hls,dsp,9
gramschmidt,hls,avg_latency,9037
gramschmidt,hls,best_latency,5365
gramschmidt,hls,worst_latency,12097
symm,hls,total_lut,589
symm,hls,instance_lut,40
symm,hls,lut,549
symm,hls,dsp,15
symm,hls,avg_latency,2033
symm,hls,best_latency,497
symm,hls,worst_latency,3185
trisolv,hls,total_lut,610
trisolv,hls,instance_lut,40
trisolv,hls,lut,570
trisolv,hls,dsp,3
trisolv,hls,avg_latency,377
trisolv,hls,best_latency,313
trisolv,hls,worst_latency,425
trmm,hls,total_lut,359
trmm,hls,instance_lut,40
trmm,hls,lut,319
trmm,hls,dsp,6
trmm,hls,avg_latency,1553
trmm,hls,best_latency,401
trmm,hls,worst_latency,2417
doitgen,hls,total_lut,411
doitgen,hls,instance_lut,40
doitgen,hls,lut,371
doitgen,hls,dsp,3
doitgen,hls,avg_latency,14545
doitgen,hls,best_latency,14545
doitgen,hls,worst_latency,14545
durbin,hls,total_lut,1110
durbin,hls,instance_lut,40
durbin,hls,lut,1070
durbin,hls,dsp,12
durbin,hls,avg_latency,366
durbin,hls,best_latency,93
durbin,hls,worst_latency,639
cholesky,hls,total_lut,4080
cholesky,hls,instance_lut,40
cholesky,hls,lut,4040
cholesky,hls,dsp,6
cholesky,hls,avg_latency,1385
cholesky,hls,best_latency,329
cholesky,hls,worst_latency,4025
syrk,hls,total_lut,681
syrk,hls,instance_lut,40
syrk,hls,lut,641
syrk,hls,dsp,9
syrk,hls,avg_latency,2631
syrk,hls,best_latency,1011
syrk,hls,worst_latency,4791
2mm,hls,total_lut,979
2mm,hls,instance_lut,40
2mm,hls,lut,939
2mm,hls,dsp,12
2mm,hls,avg_latency,3718
2mm,hls,best_latency,3718
2mm,hls,worst_latency,3718
mvt,hls,total_lut,697
mvt,hls,instance_lut,40
mvt,hls,lut,657
mvt,hls,dsp,6
mvt,hls,avg_latency,597
mvt,hls,best_latency,597
mvt,hls,worst_latency,597
lu,hls,total_lut,804
lu,hls,instance_lut,40
lu,hls,lut,764
lu,hls,dsp,3
lu,hls,avg_latency,1817
lu,hls,best_latency,41
lu,hls,worst_latency,5417
bicg,hls,total_lut,367
bicg,hls,instance_lut,40
bicg,hls,lut,327
bicg,hls,dsp,6
bicg,hls,avg_latency,218
bicg,hls,best_latency,218
bicg,hls,worst_latency,218
