benchmark,latency
linear-algebra-atax,1681
linear-algebra-syr2k,10641
linear-algebra-syrk,4991
linear-algebra-mvt,969
linear-algebra-gemm,2377
linear-algebra-gesummv,1805
linear-algebra-gramschmidt,8723
linear-algebra-gemver,2063
linear-algebra-2mm,4446
