benchmark,type,key,value
gesummv,resource-sharing-unrolled,lut,3916
gesummv,resource-sharing-unrolled,dsp,36
gesummv,resource-sharing-unrolled,meet_timing,1
gesummv,resource-sharing-unrolled,registers,548
gesummv,resource-sharing-unrolled,muxes,763
gesummv,resource-sharing-unrolled,clb_registers,6485
gesummv,resource-sharing-unrolled,carry8,56
gesummv,resource-sharing-unrolled,f7_muxes,192
gesummv,resource-sharing-unrolled,f8_muxes,0
gesummv,resource-sharing-unrolled,f9_muxes,0
gesummv,resource-sharing-unrolled,clb,10649
gesummv,resource-sharing-unrolled,cell_lut1,5
gesummv,resource-sharing-unrolled,cell_lut2,610
gesummv,resource-sharing-unrolled,cell_lut3,1003
gesummv,resource-sharing-unrolled,cell_lut4,450
gesummv,resource-sharing-unrolled,cell_lut5,310
gesummv,resource-sharing-unrolled,cell_lut6,2269
gesummv,resource-sharing-unrolled,cell_fdre,6485
syr2k,resource-sharing-unrolled,lut,3508
syr2k,resource-sharing-unrolled,dsp,27
syr2k,resource-sharing-unrolled,meet_timing,1
syr2k,resource-sharing-unrolled,registers,419
syr2k,resource-sharing-unrolled,muxes,461
syr2k,resource-sharing-unrolled,clb_registers,7583
syr2k,resource-sharing-unrolled,carry8,26
syr2k,resource-sharing-unrolled,f7_muxes,0
syr2k,resource-sharing-unrolled,f8_muxes,0
syr2k,resource-sharing-unrolled,f9_muxes,0
syr2k,resource-sharing-unrolled,clb,11117
syr2k,resource-sharing-unrolled,cell_lut1,4
syr2k,resource-sharing-unrolled,cell_lut2,242
syr2k,resource-sharing-unrolled,cell_lut3,479
syr2k,resource-sharing-unrolled,cell_lut4,325
syr2k,resource-sharing-unrolled,cell_lut5,120
syr2k,resource-sharing-unrolled,cell_lut6,2660
syr2k,resource-sharing-unrolled,cell_fdre,7583
gemver,resource-sharing-unrolled,lut,4783
gemver,resource-sharing-unrolled,dsp,72
gemver,resource-sharing-unrolled,meet_timing,1
gemver,resource-sharing-unrolled,registers,768
gemver,resource-sharing-unrolled,muxes,827
gemver,resource-sharing-unrolled,clb_registers,6370
gemver,resource-sharing-unrolled,carry8,64
gemver,resource-sharing-unrolled,f7_muxes,192
gemver,resource-sharing-unrolled,f8_muxes,64
gemver,resource-sharing-unrolled,f9_muxes,0
gemver,resource-sharing-unrolled,clb,11473
gemver,resource-sharing-unrolled,cell_lut1,16
gemver,resource-sharing-unrolled,cell_lut2,975
gemver,resource-sharing-unrolled,cell_lut3,1503
gemver,resource-sharing-unrolled,cell_lut4,728
gemver,resource-sharing-unrolled,cell_lut5,1217
gemver,resource-sharing-unrolled,cell_lut6,1280
gemver,resource-sharing-unrolled,cell_fdre,6370
gemm,resource-sharing-unrolled,lut,4189
gemm,resource-sharing-unrolled,dsp,60
gemm,resource-sharing-unrolled,meet_timing,1
gemm,resource-sharing-unrolled,registers,600
gemm,resource-sharing-unrolled,muxes,772
gemm,resource-sharing-unrolled,clb_registers,8856
gemm,resource-sharing-unrolled,carry8,72
gemm,resource-sharing-unrolled,f7_muxes,640
gemm,resource-sharing-unrolled,f8_muxes,288
gemm,resource-sharing-unrolled,f9_muxes,0
gemm,resource-sharing-unrolled,clb,14045
gemm,resource-sharing-unrolled,cell_lut1,3
gemm,resource-sharing-unrolled,cell_lut2,657
gemm,resource-sharing-unrolled,cell_lut3,863
gemm,resource-sharing-unrolled,cell_lut4,224
gemm,resource-sharing-unrolled,cell_lut5,713
gemm,resource-sharing-unrolled,cell_lut6,2460
gemm,resource-sharing-unrolled,cell_fdre,8856
3mm,resource-sharing-unrolled,lut,9141
3mm,resource-sharing-unrolled,dsp,72
3mm,resource-sharing-unrolled,meet_timing,1
3mm,resource-sharing-unrolled,registers,1214
3mm,resource-sharing-unrolled,muxes,1586
3mm,resource-sharing-unrolled,clb_registers,18750
3mm,resource-sharing-unrolled,carry8,80
3mm,resource-sharing-unrolled,f7_muxes,1657
3mm,resource-sharing-unrolled,f8_muxes,797
3mm,resource-sharing-unrolled,f9_muxes,0
3mm,resource-sharing-unrolled,clb,30425
3mm,resource-sharing-unrolled,cell_lut1,22
3mm,resource-sharing-unrolled,cell_lut2,813
3mm,resource-sharing-unrolled,cell_lut3,980
3mm,resource-sharing-unrolled,cell_lut4,1117
3mm,resource-sharing-unrolled,cell_lut5,600
3mm,resource-sharing-unrolled,cell_lut6,6623
3mm,resource-sharing-unrolled,cell_fdre,18750
atax,resource-sharing-unrolled,lut,1727
atax,resource-sharing-unrolled,dsp,12
atax,resource-sharing-unrolled,meet_timing,1
atax,resource-sharing-unrolled,registers,274
atax,resource-sharing-unrolled,muxes,359
atax,resource-sharing-unrolled,clb_registers,3047
