benchmark,type,lut,dsp,latency,meet_timing,source
linear-algebra-3mm,hls,742,9,5043,1,results/14_14_31-08_2020
linear-algebra-3mm,hls_total,782,9,5043,1,results/14_14_31-08_2020
linear-algebra-3mm,futil,583,9,0,1,results/14_14_31-08_2020
linear-algebra-symm,hls,549,15,2033,1,results/14_14_31-08_2020
linear-algebra-symm,hls_total,589,15,2033,1,results/14_14_31-08_2020
linear-algebra-symm,futil,655,21,0,1,results/14_14_31-08_2020
linear-algebra-2mm,hls,939,12,3718,1,results/14_14_31-08_2020
linear-algebra-2mm,hls_total,979,12,3718,1,results/14_14_31-08_2020
linear-algebra-2mm,futil,4183,12,0,1,results/14_14_31-08_2020
linear-algebra-lu,hls,764,3,1817,1,results/14_14_31-08_2020
linear-algebra-lu,hls_total,804,3,1817,1,results/14_14_31-08_2020
linear-algebra-lu,futil,522,6,0,1,results/14_14_31-08_2020
linear-algebra-ludcmp,hls,1594,12,,1,results/14_14_31-08_2020
linear-algebra-ludcmp,hls_total,1634,12,,1,results/14_14_31-08_2020
linear-algebra-ludcmp,futil,1180,12,0,1,results/14_14_31-08_2020
linear-algebra-durbin,hls,1070,12,366,1,results/14_14_31-08_2020
linear-algebra-durbin,hls_total,1110,12,366,1,results/14_14_31-08_2020
linear-algebra-durbin,futil,843,12,0,1,results/14_14_31-08_2020
linear-algebra-trisolv,hls,570,3,377,1,results/14_14_31-08_2020
linear-algebra-trisolv,hls_total,610,3,377,1,results/14_14_31-08_2020
linear-algebra-trisolv,futil,316,3,0,1,results/14_14_31-08_2020
linear-algebra-bicg,hls,327,6,218,1,results/14_14_31-08_2020
linear-algebra-bicg,hls_total,367,6,218,1,results/14_14_31-08_2020
linear-algebra-bicg,futil,318,6,0,1,results/14_14_31-08_2020
linear-algebra-atax,hls,610,6,715,1,results/14_14_31-08_2020
linear-algebra-atax,hls_total,650,6,715,1,results/14_14_31-08_2020
linear-algebra-atax,futil,1150,6,0,1,results/14_14_31-08_2020
linear-algebra-gesummv,hls,756,12,532,1,results/14_14_31-08_2020
linear-algebra-gesummv,hls_total,796,12,532,1,results/14_14_31-08_2020
linear-algebra-gesummv,futil,2001,12,0,1,results/14_14_31-08_2020
linear-algebra-gemm,hls,633,9,2684,1,results/14_14_31-08_2020
linear-algebra-gemm,hls_total,673,9,2684,1,results/14_14_31-08_2020
linear-algebra-gemm,futil,2627,9,0,1,results/14_14_31-08_2020
linear-algebra-gemver,hls,1338,18,1105,1,results/14_14_31-08_2020
linear-algebra-gemver,hls_total,1378,18,1105,1,results/14_14_31-08_2020
linear-algebra-gemver,futil,2044,18,0,1,results/14_14_31-08_2020
linear-algebra-cholesky,hls,4040,6,1385,1,results/14_14_31-08_2020
linear-algebra-cholesky,hls_total,4080,6,1385,1,results/14_14_31-08_2020
linear-algebra-cholesky,futil,614,6,0,1,results/14_14_31-08_2020
linear-algebra-mvt,hls,657,6,597,1,results/14_14_31-08_2020
linear-algebra-mvt,hls_total,697,6,597,1,results/14_14_31-08_2020
linear-algebra-mvt,futil,1237,6,0,1,results/14_14_31-08_2020

