benchmark,type,key,value
gesummv,all-unrolled,lut,3964
gesummv,all-unrolled,dsp,36
gesummv,all-unrolled,meet_timing,1
gesummv,all-unrolled,registers,506
gesummv,all-unrolled,muxes,729
gesummv,all-unrolled,clb_registers,5894
gesummv,all-unrolled,carry8,56
gesummv,all-unrolled,f7_muxes,64
gesummv,all-unrolled,f8_muxes,32
gesummv,all-unrolled,f9_muxes,0
gesummv,all-unrolled,clb,10010
gesummv,all-unrolled,cell_lut1,2
gesummv,all-unrolled,cell_lut2,634
gesummv,all-unrolled,cell_lut3,561
gesummv,all-unrolled,cell_lut4,410
gesummv,all-unrolled,cell_lut5,433
gesummv,all-unrolled,cell_lut6,2426
gesummv,all-unrolled,cell_fdre,5894
syr2k,all-unrolled,lut,3662
syr2k,all-unrolled,dsp,27
syr2k,all-unrolled,meet_timing,1
syr2k,all-unrolled,registers,399
syr2k,all-unrolled,muxes,445
syr2k,all-unrolled,clb_registers,7398
syr2k,all-unrolled,carry8,26
syr2k,all-unrolled,f7_muxes,0
syr2k,all-unrolled,f8_muxes,0
syr2k,all-unrolled,f9_muxes,0
syr2k,all-unrolled,clb,11086
syr2k,all-unrolled,cell_lut1,2
syr2k,all-unrolled,cell_lut2,242
syr2k,all-unrolled,cell_lut3,271
syr2k,all-unrolled,cell_lut4,278
syr2k,all-unrolled,cell_lut5,144
syr2k,all-unrolled,cell_lut6,2943
syr2k,all-unrolled,cell_fdre,7398
gemver,all-unrolled,lut,5297
gemver,all-unrolled,dsp,72
gemver,all-unrolled,meet_timing,1
gemver,all-unrolled,registers,670
gemver,all-unrolled,muxes,827
gemver,all-unrolled,clb_registers,4991
gemver,all-unrolled,carry8,64
gemver,all-unrolled,f7_muxes,128
gemver,all-unrolled,f8_muxes,64
gemver,all-unrolled,f9_muxes,0
gemver,all-unrolled,clb,10544
gemver,all-unrolled,cell_lut1,18
gemver,all-unrolled,cell_lut2,995
gemver,all-unrolled,cell_lut3,1472
gemver,all-unrolled,cell_lut4,967
gemver,all-unrolled,cell_lut5,891
gemver,all-unrolled,cell_lut6,1958
gemver,all-unrolled,cell_fdre,4991
gemm,all-unrolled,lut,4414
gemm,all-unrolled,dsp,60
gemm,all-unrolled,meet_timing,1
gemm,all-unrolled,registers,578
gemm,all-unrolled,muxes,760
gemm,all-unrolled,clb_registers,8639
gemm,all-unrolled,carry8,72
gemm,all-unrolled,f7_muxes,448
gemm,all-unrolled,f8_muxes,33
gemm,all-unrolled,f9_muxes,0
gemm,all-unrolled,clb,13606
gemm,all-unrolled,cell_lut1,2
gemm,all-unrolled,cell_lut2,733
gemm,all-unrolled,cell_lut3,1139
gemm,all-unrolled,cell_lut4,177
gemm,all-unrolled,cell_lut5,682
gemm,all-unrolled,cell_lut6,2561
gemm,all-unrolled,cell_fdre,8639
3mm,all-unrolled,lut,9404
3mm,all-unrolled,dsp,72
3mm,all-unrolled,meet_timing,1
3mm,all-unrolled,registers,1106
3mm,all-unrolled,muxes,1553
3mm,all-unrolled,clb_registers,17292
3mm,all-unrolled,carry8,80
3mm,all-unrolled,f7_muxes,1792
3mm,all-unrolled,f8_muxes,864
3mm,all-unrolled,f9_muxes,0
3mm,all-unrolled,clb,29432
3mm,all-unrolled,cell_lut1,3
3mm,all-unrolled,cell_lut2,1054
3mm,all-unrolled,cell_lut3,1631
3mm,all-unrolled,cell_lut4,1373
3mm,all-unrolled,cell_lut5,800
3mm,all-unrolled,cell_lut6,5879
3mm,all-unrolled,cell_fdre,17292
atax,all-unrolled,lut,1856
atax,all-unrolled,dsp,12
atax,all-unrolled,meet_timing,1
atax,all-unrolled,registers,246
atax,all-unrolled,muxes,342
atax,all-unrolled,clb_registers,2707
atax,all-unrolled,carry8,16
atax,all-unrolled,f7_muxes,256
atax,all-unrolled,f8_muxes,0
atax,all-unrolled,f9_muxes,0
atax,all-unrolled,clb,4835
atax,all-unrolled,cell_lut1,4
atax,all-unrolled,cell_lut2,304
atax,all-unrolled,cell_lut3,127
atax,all-unrolled,cell_lut4,319
atax,all-unrolled,cell_lut5,103
atax,all-unrolled,cell_lut6,1166
atax,all-unrolled,cell_fdre,2707
gramschmidt,all-unrolled,lut,6550
gramschmidt,all-unrolled,dsp,36
gramschmidt,all-unrolled,meet_timing,1
gramschmidt,all-unrolled,registers,737
gramschmidt,all-unrolled,muxes,1086
gramschmidt,all-unrolled,clb_registers,13409
gramschmidt,all-unrolled,carry8,91
gramschmidt,all-unrolled,f7_muxes,1242
gramschmidt,all-unrolled,f8_muxes,0
gramschmidt,all-unrolled,f9_muxes,0
gramschmidt,all-unrolled,clb,21292
gramschmidt,all-unrolled,cell_lut1,29
gramschmidt,all-unrolled,cell_lut2,764
gramschmidt,all-unrolled,cell_lut3,826
gramschmidt,all-unrolled,cell_lut4,1098
gramschmidt,all-unrolled,cell_lut5,725
gramschmidt,all-unrolled,cell_lut6,4037
gramschmidt,all-unrolled,cell_fdre,13404
doitgen,all-unrolled,lut,7328
doitgen,all-unrolled,dsp,12
doitgen,all-unrolled,meet_timing,1
doitgen,all-unrolled,registers,804
doitgen,all-unrolled,muxes,1124
doitgen,all-unrolled,clb_registers,19310
doitgen,all-unrolled,carry8,24
doitgen,all-unrolled,f7_muxes,2112
doitgen,all-unrolled,f8_muxes,1056
doitgen,all-unrolled,f9_muxes,0
doitgen,all-unrolled,clb,29830
doitgen,all-unrolled,cell_lut1,2
doitgen,all-unrolled,cell_lut2,475
doitgen,all-unrolled,cell_lut3,378
doitgen,all-unrolled,cell_lut4,271
doitgen,all-unrolled,cell_lut5,175
doitgen,all-unrolled,cell_lut6,6423
doitgen,all-unrolled,cell_fdre,19310
syrk,all-unrolled,lut,2321
syrk,all-unrolled,dsp,27
syrk,all-unrolled,meet_timing,1
syrk,all-unrolled,registers,297
syrk,all-unrolled,muxes,359
syrk,all-unrolled,clb_registers,4350
syrk,all-unrolled,carry8,34
syrk,all-unrolled,f7_muxes,256
