benchmark,type,key,value
gesummv,minimize-regs-unrolled,lut,3555
gesummv,minimize-regs-unrolled,dsp,36
gesummv,minimize-regs-unrolled,meet_timing,1
gesummv,minimize-regs-unrolled,registers,506
gesummv,minimize-regs-unrolled,muxes,926
gesummv,minimize-regs-unrolled,clb_registers,5894
gesummv,minimize-regs-unrolled,carry8,64
gesummv,minimize-regs-unrolled,f7_muxes,512
gesummv,minimize-regs-unrolled,f8_muxes,256
gesummv,minimize-regs-unrolled,f9_muxes,0
gesummv,minimize-regs-unrolled,clb,10281
gesummv,minimize-regs-unrolled,cell_lut1,1
gesummv,minimize-regs-unrolled,cell_lut2,751
gesummv,minimize-regs-unrolled,cell_lut3,710
gesummv,minimize-regs-unrolled,cell_lut4,309
gesummv,minimize-regs-unrolled,cell_lut5,499
gesummv,minimize-regs-unrolled,cell_lut6,1942
gesummv,minimize-regs-unrolled,cell_fdre,5894
syr2k,minimize-regs-unrolled,lut,3602
syr2k,minimize-regs-unrolled,dsp,27
syr2k,minimize-regs-unrolled,meet_timing,1
syr2k,minimize-regs-unrolled,registers,399
syr2k,minimize-regs-unrolled,muxes,517
syr2k,minimize-regs-unrolled,clb_registers,7398
syr2k,minimize-regs-unrolled,carry8,34
syr2k,minimize-regs-unrolled,f7_muxes,0
syr2k,minimize-regs-unrolled,f8_muxes,0
syr2k,minimize-regs-unrolled,f9_muxes,0
syr2k,minimize-regs-unrolled,clb,11034
syr2k,minimize-regs-unrolled,cell_lut1,7
syr2k,minimize-regs-unrolled,cell_lut2,356
syr2k,minimize-regs-unrolled,cell_lut3,388
syr2k,minimize-regs-unrolled,cell_lut4,285
syr2k,minimize-regs-unrolled,cell_lut5,104
syr2k,minimize-regs-unrolled,cell_lut6,2829
syr2k,minimize-regs-unrolled,cell_fdre,7398
gemver,minimize-regs-unrolled,lut,5345
gemver,minimize-regs-unrolled,dsp,72
gemver,minimize-regs-unrolled,meet_timing,1
gemver,minimize-regs-unrolled,registers,670
gemver,minimize-regs-unrolled,muxes,1113
gemver,minimize-regs-unrolled,clb_registers,4991
gemver,minimize-regs-unrolled,carry8,120
gemver,minimize-regs-unrolled,f7_muxes,256
gemver,minimize-regs-unrolled,f8_muxes,128
gemver,minimize-regs-unrolled,f9_muxes,0
gemver,minimize-regs-unrolled,clb,10840
gemver,minimize-regs-unrolled,cell_lut1,10
gemver,minimize-regs-unrolled,cell_lut2,1545
gemver,minimize-regs-unrolled,cell_lut3,1916
gemver,minimize-regs-unrolled,cell_lut4,649
gemver,minimize-regs-unrolled,cell_lut5,1226
gemver,minimize-regs-unrolled,cell_lut6,1412
gemver,minimize-regs-unrolled,cell_fdre,4991
gemm,minimize-regs-unrolled,lut,4357
gemm,minimize-regs-unrolled,dsp,60
gemm,minimize-regs-unrolled,meet_timing,1
gemm,minimize-regs-unrolled,registers,578
gemm,minimize-regs-unrolled,muxes,923
gemm,minimize-regs-unrolled,clb_registers,8639
gemm,minimize-regs-unrolled,carry8,72
gemm,minimize-regs-unrolled,f7_muxes,608
gemm,minimize-regs-unrolled,f8_muxes,192
gemm,minimize-regs-unrolled,f9_muxes,0
gemm,minimize-regs-unrolled,clb,13868
gemm,minimize-regs-unrolled,cell_lut1,14
gemm,minimize-regs-unrolled,cell_lut2,663
gemm,minimize-regs-unrolled,cell_lut3,939
gemm,minimize-regs-unrolled,cell_lut4,169
gemm,minimize-regs-unrolled,cell_lut5,641
gemm,minimize-regs-unrolled,cell_lut6,2674
gemm,minimize-regs-unrolled,cell_fdre,8639
3mm,minimize-regs-unrolled,lut,9250
3mm,minimize-regs-unrolled,dsp,72
3mm,minimize-regs-unrolled,meet_timing,1
3mm,minimize-regs-unrolled,registers,1106
3mm,minimize-regs-unrolled,muxes,2320
3mm,minimize-regs-unrolled,clb_registers,17295
3mm,minimize-regs-unrolled,carry8,144
3mm,minimize-regs-unrolled,f7_muxes,1584
3mm,minimize-regs-unrolled,f8_muxes,784
3mm,minimize-regs-unrolled,f9_muxes,0
3mm,minimize-regs-unrolled,clb,29057
3mm,minimize-regs-unrolled,cell_lut1,11
3mm,minimize-regs-unrolled,cell_lut2,1436
3mm,minimize-regs-unrolled,cell_lut3,2217
3mm,minimize-regs-unrolled,cell_lut4,1253
3mm,minimize-regs-unrolled,cell_lut5,660
3mm,minimize-regs-unrolled,cell_lut6,5580
3mm,minimize-regs-unrolled,cell_fdre,17295
atax,minimize-regs-unrolled,lut,1862
atax,minimize-regs-unrolled,dsp,12
atax,minimize-regs-unrolled,meet_timing,1
atax,minimize-regs-unrolled,registers,246
atax,minimize-regs-unrolled,muxes,399
atax,minimize-regs-unrolled,clb_registers,2707
atax,minimize-regs-unrolled,carry8,24
atax,minimize-regs-unrolled,f7_muxes,192
atax,minimize-regs-unrolled,f8_muxes,0
atax,minimize-regs-unrolled,f9_muxes,0
atax,minimize-regs-unrolled,clb,4785
atax,minimize-regs-unrolled,cell_lut1,3
atax,minimize-regs-unrolled,cell_lut2,410
atax,minimize-regs-unrolled,cell_lut3,228
atax,minimize-regs-unrolled,cell_lut4,271
atax,minimize-regs-unrolled,cell_lut5,95
atax,minimize-regs-unrolled,cell_lut6,1123
atax,minimize-regs-unrolled,cell_fdre,2707
gramschmidt,minimize-regs-unrolled,lut,6713
gramschmidt,minimize-regs-unrolled,dsp,36
gramschmidt,minimize-regs-unrolled,meet_timing,1
gramschmidt,minimize-regs-unrolled,registers,737
gramschmidt,minimize-regs-unrolled,muxes,1253
gramschmidt,minimize-regs-unrolled,clb_registers,13409
gramschmidt,minimize-regs-unrolled,carry8,107
gramschmidt,minimize-regs-unrolled,f7_muxes,1248
gramschmidt,minimize-regs-unrolled,f8_muxes,32
gramschmidt,minimize-regs-unrolled,f9_muxes,0
gramschmidt,minimize-regs-unrolled,clb,21509
gramschmidt,minimize-regs-unrolled,cell_lut1,16
gramschmidt,minimize-regs-unrolled,cell_lut2,1046
gramschmidt,minimize-regs-unrolled,cell_lut3,690
gramschmidt,minimize-regs-unrolled,cell_lut4,985
gramschmidt,minimize-regs-unrolled,cell_lut5,651
gramschmidt,minimize-regs-unrolled,cell_lut6,4332
gramschmidt,minimize-regs-unrolled,cell_fdre,13404
doitgen,minimize-regs-unrolled,lut,7173
doitgen,minimize-regs-unrolled,dsp,12
doitgen,minimize-regs-unrolled,meet_timing,1
doitgen,minimize-regs-unrolled,registers,804
doitgen,minimize-regs-unrolled,muxes,1178
doitgen,minimize-regs-unrolled,clb_registers,19310
doitgen,minimize-regs-unrolled,carry8,24
doitgen,minimize-regs-unrolled,f7_muxes,2273
doitgen,minimize-regs-unrolled,f8_muxes,1121
doitgen,minimize-regs-unrolled,f9_muxes,0
doitgen,minimize-regs-unrolled,clb,29901
doitgen,minimize-regs-unrolled,cell_lut1,4
doitgen,minimize-regs-unrolled,cell_lut2,366
doitgen,minimize-regs-unrolled,cell_lut3,372
doitgen,minimize-regs-unrolled,cell_lut4,341
doitgen,minimize-regs-unrolled,cell_lut5,248
doitgen,minimize-regs-unrolled,cell_lut6,6197
doitgen,minimize-regs-unrolled,cell_fdre,19310
syrk,minimize-regs-unrolled,lut,2283
syrk,minimize-regs-unrolled,dsp,27
syrk,minimize-regs-unrolled,meet_timing,1
syrk,minimize-regs-unrolled,registers,297
syrk,minimize-regs-unrolled,muxes,413
syrk,minimize-regs-unrolled,clb_registers,4350
syrk,minimize-regs-unrolled,carry8,34
syrk,minimize-regs-unrolled,f7_muxes,256
syrk,minimize-regs-unrolled,f8_muxes,0
syrk,minimize-regs-unrolled,f9_muxes,0
syrk,minimize-regs-unrolled,clb,6923
syrk,minimize-regs-unrolled,cell_lut1,9
syrk,minimize-regs-unrolled,cell_lut2,293
syrk,minimize-regs-unrolled,cell_lut3,435
syrk,minimize-regs-unrolled,cell_lut4,114
syrk,minimize-regs-unrolled,cell_lut5,188
syrk,minimize-regs-unrolled,cell_lut6,1579
syrk,minimize-regs-unrolled,cell_fdre,4350
2mm,minimize-regs-unrolled,lut,7733
2mm,minimize-regs-unrolled,dsp,84
2mm,minimize-regs-unrolled,meet_timing,1
2mm,minimize-regs-unrolled,registers,940
2mm,minimize-regs-unrolled,muxes,1740
2mm,minimize-regs-unrolled,clb_registers,13904
2mm,minimize-regs-unrolled,carry8,120
2mm,minimize-regs-unrolled,f7_muxes,902
2mm,minimize-regs-unrolled,f8_muxes,434
2mm,minimize-regs-unrolled,f9_muxes,0
2mm,minimize-regs-unrolled,clb,23093
2mm,minimize-regs-unrolled,cell_lut1,7
2mm,minimize-regs-unrolled,cell_lut2,1203
2mm,minimize-regs-unrolled,cell_lut3,1281
2mm,minimize-regs-unrolled,cell_lut4,1011
2mm,minimize-regs-unrolled,cell_lut5,1086
2mm,minimize-regs-unrolled,cell_lut6,4580
2mm,minimize-regs-unrolled,cell_fdre,13904
mvt,minimize-regs-unrolled,lut,2527
mvt,minimize-regs-unrolled,dsp,24
mvt,minimize-regs-unrolled,meet_timing,1
