benchmark,type,lut,dsp,latency,registers,muxes,meet_timing,source
linear-algebra-3mm,hls,742,9,5043,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-3mm,futil,533,9,0,155.0,180.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-symm,hls,549,15,2033,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-symm,futil,711,21,0,155.0,154.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-2mm,hls,939,12,3718,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-2mm,futil,3831,12,0,563.0,611.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-trmm,hls,319,6,1553,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-trmm,futil,254,6,0,68.0,69.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-syr2k,hls,726,9,3712,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-syr2k,futil,2927,15,0,371.0,404.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-lu,hls,764,3,1817,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-lu,futil,526,6,0,109.0,126.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-syrk,hls,641,9,2631,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-syrk,futil,1431,9,0,228.0,251.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-ludcmp,hls,1594,12,1603,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-ludcmp,futil,1292,12,0,240.0,248.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-durbin,hls,1070,12,366,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-durbin,futil,809,12,0,143.0,173.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-trisolv,hls,570,3,377,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-trisolv,futil,323,3,0,58.0,74.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-bicg,hls,327,6,218,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-bicg,futil,326,6,0,76.0,94.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-atax,hls,610,6,715,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-atax,futil,1162,6,0,215.0,222.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-gesummv,hls,756,12,532,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-gesummv,futil,2223,12,0,343.0,377.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-gemm,hls,633,9,2684,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-gemm,futil,2615,9,0,342.0,380.0,1,pldi_results/complete0/Nov17-10-no-static
