benchmark,type,lut,dsp,latency,registers,muxes,meet_timing,source
linear-algebra-doitgen,hls,371,3,14545,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-doitgen,futil,229,3,0,75.0,94.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-gemver,hls,1338,18,1105,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-gemver,futil,2356,18,0,441.0,457.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-cholesky,hls,802,6,1049,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-cholesky,futil,590,6,0,115.0,130.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-mvt,hls,657,6,597,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-mvt,futil,1453,6,0,225.0,270.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-gramschmidt,hls,1662,9,8605,0.0,0.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-gramschmidt,futil,4747,9,0,593.0,662.0,1,pldi_results/complete0/Nov17-10-no-static
linear-algebra-3mm,hls,742,9,5043,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-3mm,futil,533,9,0,155.0,180.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-symm,hls,549,15,2033,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-symm,futil,711,21,0,155.0,154.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-2mm,hls,939,12,3718,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-2mm,futil,3831,12,0,563.0,611.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-trmm,hls,319,6,1553,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-trmm,futil,254,6,0,68.0,69.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-syr2k,hls,726,9,3712,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-syr2k,futil,2927,15,0,371.0,404.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-lu,hls,764,3,1817,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-lu,futil,526,6,0,109.0,126.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-syrk,hls,641,9,2631,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-syrk,futil,1431,9,0,228.0,251.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-ludcmp,hls,1594,12,1603,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-ludcmp,futil,1292,12,0,240.0,248.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-durbin,hls,1070,12,366,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-durbin,futil,809,12,0,143.0,173.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-trisolv,hls,570,3,377,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-trisolv,futil,323,3,0,58.0,74.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-bicg,hls,327,6,218,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-bicg,futil,326,6,0,76.0,94.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-atax,hls,610,6,715,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-atax,futil,1162,6,0,215.0,222.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-gesummv,hls,756,12,532,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-gesummv,futil,2223,12,0,343.0,377.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-gemm,hls,633,9,2684,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-gemm,futil,2615,9,0,342.0,380.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-doitgen,hls,371,3,14545,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-doitgen,futil,229,3,0,75.0,94.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-gemver,hls,1338,18,1105,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-gemver,futil,2356,18,0,441.0,457.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-cholesky,hls,802,6,1049,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-cholesky,futil,590,6,0,115.0,130.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-mvt,hls,657,6,597,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-mvt,futil,1453,6,0,225.0,270.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-gramschmidt,hls,1662,9,8605,0.0,0.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-gramschmidt,futil,4747,9,0,593.0,662.0,1,pldi_results/complete0/Nov17-6-all
linear-algebra-3mm,hls,742,9,5043,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-3mm,futil,533,9,0,155.0,180.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-symm,hls,549,15,2033,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-symm,futil,664,21,0,157.0,152.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-2mm,hls,939,12,3718,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-2mm,futil,3831,12,0,563.0,611.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-trmm,hls,319,6,1553,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-trmm,futil,254,6,0,68.0,69.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-syr2k,hls,726,9,3712,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-syr2k,futil,2648,15,0,379.0,387.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-lu,hls,764,3,1817,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-lu,futil,526,6,0,109.0,126.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-syrk,hls,641,9,2631,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-syrk,futil,1431,9,0,228.0,251.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-ludcmp,hls,1594,12,1603,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-ludcmp,futil,1264,12,0,246.0,247.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-durbin,hls,1070,12,366,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-durbin,futil,690,12,0,147.0,168.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-trisolv,hls,570,3,377,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-trisolv,futil,323,3,0,58.0,74.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-bicg,hls,327,6,218,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-bicg,futil,326,6,0,76.0,94.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-atax,hls,610,6,715,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-atax,futil,1189,6,0,219.0,226.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-gesummv,hls,756,12,532,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-gesummv,futil,2089,12,0,361.0,375.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-gemm,hls,633,9,2684,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-gemm,futil,2704,9,0,352.0,375.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-doitgen,hls,371,3,14545,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-doitgen,futil,229,3,0,75.0,94.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-gemver,hls,1338,18,1105,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-gemver,futil,2128,18,0,471.0,467.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-cholesky,hls,802,6,1049,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-cholesky,futil,590,6,0,115.0,130.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-mvt,hls,657,6,597,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-mvt,futil,1243,6,0,241.0,258.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-gramschmidt,hls,1662,9,8605,0.0,0.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-gramschmidt,futil,4712,9,0,613.0,663.0,1,pldi_results/complete0/Nov17-7-no-mr
linear-algebra-3mm,hls,742,9,5043,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-3mm,futil,540,9,0,155.0,213.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-symm,hls,549,15,2033,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-symm,futil,691,21,0,157.0,152.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-2mm,hls,939,12,3718,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-2mm,futil,4032,12,0,563.0,683.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-trmm,hls,319,6,1553,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-trmm,futil,286,6,0,68.0,78.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-syr2k,hls,726,9,3712,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-syr2k,futil,2978,15,0,379.0,429.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-lu,hls,764,3,1817,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-lu,futil,525,6,0,109.0,135.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-syrk,hls,641,9,2631,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-syrk,futil,1406,9,0,228.0,285.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-ludcmp,hls,1594,12,1603,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-ludcmp,futil,1325,12,0,246.0,282.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-durbin,hls,1070,12,366,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-durbin,futil,810,12,0,147.0,171.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-trisolv,hls,570,3,377,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-trisolv,futil,323,3,0,58.0,74.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-bicg,hls,327,6,218,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-bicg,futil,368,6,0,76.0,93.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-atax,hls,610,6,715,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-atax,futil,1132,6,0,219.0,269.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-gesummv,hls,756,12,532,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-gesummv,futil,2032,12,0,361.0,410.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-gemm,hls,633,9,2684,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-gemm,futil,2388,9,0,352.0,417.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-doitgen,hls,371,3,14545,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-doitgen,futil,256,3,0,75.0,111.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-gemver,hls,1338,18,1105,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-gemver,futil,2033,18,0,471.0,534.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-cholesky,hls,802,6,1049,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-cholesky,futil,597,6,0,115.0,128.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-mvt,hls,657,6,597,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-mvt,futil,1207,6,0,241.0,293.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-gramschmidt,hls,1662,9,8605,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-gramschmidt,futil,4863,9,0,613.0,741.0,1,pldi_results/complete0/Nov17-8-no-mr-rs
linear-algebra-3mm,hls,742,9,5043,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-3mm,futil,540,9,0,155.0,213.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-symm,hls,549,15,2033,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-symm,futil,704,21,0,155.0,154.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-2mm,hls,939,12,3718,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-2mm,futil,4032,12,0,563.0,683.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-trmm,hls,319,6,1553,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-trmm,futil,286,6,0,,,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-syr2k,hls,726,9,3712,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-syr2k,futil,2712,15,0,371.0,433.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-lu,hls,764,3,1817,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-lu,futil,525,6,0,109.0,135.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-syrk,hls,641,9,2631,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-syrk,futil,1406,9,0,228.0,285.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-ludcmp,hls,1594,12,1603,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-ludcmp,futil,1289,12,0,240.0,288.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-durbin,hls,1070,12,366,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-durbin,futil,850,12,0,143.0,171.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-trisolv,hls,570,3,377,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-trisolv,futil,323,3,0,58.0,74.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-bicg,hls,327,6,218,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-bicg,futil,368,6,0,76.0,93.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-atax,hls,610,6,715,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-atax,futil,1136,6,0,215.0,258.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-gesummv,hls,756,12,532,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-gesummv,futil,2194,12,0,343.0,405.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-gemm,hls,633,9,2684,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-gemm,futil,2626,9,0,342.0,423.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-doitgen,hls,371,3,14545,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-doitgen,futil,256,3,0,75.0,111.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-gemver,hls,1338,18,1105,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-gemver,futil,2359,18,0,441.0,534.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-cholesky,hls,802,6,1049,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-cholesky,futil,597,6,0,115.0,128.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-mvt,hls,657,6,597,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-mvt,futil,1382,6,0,225.0,302.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-gramschmidt,hls,1662,9,8605,0.0,0.0,1,pldi_results/complete0/Nov17-8-no-rs
linear-algebra-gramschmidt,futil,4776,9,0,593.0,716.0,1,pldi_results/complete0/Nov17-8-no-rs

