benchmark,type,key,value
gesummv,none-unrolled,lut,3430
gesummv,none-unrolled,dsp,36
gesummv,none-unrolled,meet_timing,1
gesummv,none-unrolled,registers,548
gesummv,none-unrolled,muxes,953
gesummv,none-unrolled,clb_registers,6485
gesummv,none-unrolled,carry8,64
gesummv,none-unrolled,f7_muxes,512
gesummv,none-unrolled,f8_muxes,256
gesummv,none-unrolled,f9_muxes,0
gesummv,none-unrolled,clb,10747
gesummv,none-unrolled,cell_lut1,2
gesummv,none-unrolled,cell_lut2,728
gesummv,none-unrolled,cell_lut3,692
gesummv,none-unrolled,cell_lut4,331
gesummv,none-unrolled,cell_lut5,289
gesummv,none-unrolled,cell_lut6,1997
gesummv,none-unrolled,cell_fdre,6485
syr2k,none-unrolled,lut,3615
syr2k,none-unrolled,dsp,27
syr2k,none-unrolled,meet_timing,1
syr2k,none-unrolled,registers,419
syr2k,none-unrolled,muxes,544
syr2k,none-unrolled,clb_registers,7583
syr2k,none-unrolled,carry8,34
syr2k,none-unrolled,f7_muxes,0
syr2k,none-unrolled,f8_muxes,0
syr2k,none-unrolled,f9_muxes,0
syr2k,none-unrolled,clb,11232
syr2k,none-unrolled,cell_lut1,3
syr2k,none-unrolled,cell_lut2,322
syr2k,none-unrolled,cell_lut3,266
syr2k,none-unrolled,cell_lut4,420
syr2k,none-unrolled,cell_lut5,162
syr2k,none-unrolled,cell_lut6,2764
syr2k,none-unrolled,cell_fdre,7583
gemver,none-unrolled,lut,4611
gemver,none-unrolled,dsp,72
gemver,none-unrolled,meet_timing,1
gemver,none-unrolled,registers,768
gemver,none-unrolled,muxes,1155
gemver,none-unrolled,clb_registers,6370
gemver,none-unrolled,carry8,120
gemver,none-unrolled,f7_muxes,256
gemver,none-unrolled,f8_muxes,128
gemver,none-unrolled,f9_muxes,0
gemver,none-unrolled,clb,11485
gemver,none-unrolled,cell_lut1,11
gemver,none-unrolled,cell_lut2,1526
gemver,none-unrolled,cell_lut3,1704
gemver,none-unrolled,cell_lut4,634
gemver,none-unrolled,cell_lut5,1071
gemver,none-unrolled,cell_lut6,913
gemver,none-unrolled,cell_fdre,6370
gemm,none-unrolled,lut,3966
gemm,none-unrolled,dsp,60
gemm,none-unrolled,meet_timing,1
gemm,none-unrolled,registers,600
gemm,none-unrolled,muxes,932
gemm,none-unrolled,clb_registers,8856
gemm,none-unrolled,carry8,72
gemm,none-unrolled,f7_muxes,768
gemm,none-unrolled,f8_muxes,384
gemm,none-unrolled,f9_muxes,0
gemm,none-unrolled,clb,14046
gemm,none-unrolled,cell_lut1,7
gemm,none-unrolled,cell_lut2,659
gemm,none-unrolled,cell_lut3,881
gemm,none-unrolled,cell_lut4,162
gemm,none-unrolled,cell_lut5,702
gemm,none-unrolled,cell_lut6,2281
gemm,none-unrolled,cell_fdre,8856
3mm,none-unrolled,lut,8439
3mm,none-unrolled,dsp,72
3mm,none-unrolled,meet_timing,1
3mm,none-unrolled,registers,1214
3mm,none-unrolled,muxes,2352
3mm,none-unrolled,clb_registers,18750
3mm,none-unrolled,carry8,144
3mm,none-unrolled,f7_muxes,1792
3mm,none-unrolled,f8_muxes,896
3mm,none-unrolled,f9_muxes,0
3mm,none-unrolled,clb,30021
3mm,none-unrolled,cell_lut1,-1
3mm,none-unrolled,cell_lut2,1231
3mm,none-unrolled,cell_lut3,1736
3mm,none-unrolled,cell_lut4,750
3mm,none-unrolled,cell_lut5,710
3mm,none-unrolled,cell_lut6,5578
3mm,none-unrolled,cell_fdre,18750
atax,none-unrolled,lut,1604
atax,none-unrolled,dsp,12
atax,none-unrolled,meet_timing,1
atax,none-unrolled,registers,274
atax,none-unrolled,muxes,428
atax,none-unrolled,clb_registers,3047
atax,none-unrolled,carry8,24
atax,none-unrolled,f7_muxes,256
atax,none-unrolled,f8_muxes,0
atax,none-unrolled,f9_muxes,0
atax,none-unrolled,clb,4931
atax,none-unrolled,cell_lut1,3
atax,none-unrolled,cell_lut2,430
atax,none-unrolled,cell_lut3,354
atax,none-unrolled,cell_lut4,171
atax,none-unrolled,cell_lut5,123
atax,none-unrolled,cell_lut6,874
atax,none-unrolled,cell_fdre,3047
gramschmidt,none-unrolled,lut,6522
gramschmidt,none-unrolled,dsp,36
gramschmidt,none-unrolled,meet_timing,1
gramschmidt,none-unrolled,registers,795
gramschmidt,none-unrolled,muxes,1278
gramschmidt,none-unrolled,clb_registers,14202
gramschmidt,none-unrolled,carry8,107
gramschmidt,none-unrolled,f7_muxes,1184
gramschmidt,none-unrolled,f8_muxes,32
gramschmidt,none-unrolled,f9_muxes,0
gramschmidt,none-unrolled,clb,22047
gramschmidt,none-unrolled,cell_lut1,22
gramschmidt,none-unrolled,cell_lut2,975
gramschmidt,none-unrolled,cell_lut3,916
gramschmidt,none-unrolled,cell_lut4,644
gramschmidt,none-unrolled,cell_lut5,654
gramschmidt,none-unrolled,cell_lut6,4203
gramschmidt,none-unrolled,cell_fdre,14197
doitgen,none-unrolled,lut,7076
doitgen,none-unrolled,dsp,12
doitgen,none-unrolled,meet_timing,1
doitgen,none-unrolled,registers,824
doitgen,none-unrolled,muxes,1198
doitgen,none-unrolled,clb_registers,19495
doitgen,none-unrolled,carry8,24
doitgen,none-unrolled,f7_muxes,2272
doitgen,none-unrolled,f8_muxes,1120
doitgen,none-unrolled,f9_muxes,0
doitgen,none-unrolled,clb,29987
doitgen,none-unrolled,cell_lut1,-1
doitgen,none-unrolled,cell_lut2,363
doitgen,none-unrolled,cell_lut3,256
doitgen,none-unrolled,cell_lut4,411
doitgen,none-unrolled,cell_lut5,244
doitgen,none-unrolled,cell_lut6,6124
doitgen,none-unrolled,cell_fdre,19495
syrk,none-unrolled,lut,2203
syrk,none-unrolled,dsp,27
syrk,none-unrolled,meet_timing,1
syrk,none-unrolled,registers,315
syrk,none-unrolled,muxes,434
syrk,none-unrolled,clb_registers,4503
syrk,none-unrolled,carry8,34
syrk,none-unrolled,f7_muxes,256
syrk,none-unrolled,f8_muxes,0
syrk,none-unrolled,f9_muxes,0
syrk,none-unrolled,clb,6996
syrk,none-unrolled,cell_lut1,2
syrk,none-unrolled,cell_lut2,334
syrk,none-unrolled,cell_lut3,374
syrk,none-unrolled,cell_lut4,157
syrk,none-unrolled,cell_lut5,354
syrk,none-unrolled,cell_lut6,1344
syrk,none-unrolled,cell_fdre,4503
2mm,none-unrolled,lut,6996
2mm,none-unrolled,dsp,84
2mm,none-unrolled,meet_timing,1
2mm,none-unrolled,registers,986
