benchmark,latency
dot-product,40
linear-algebra-2mm,5660
linear-algebra-3mm,8300
linear-algebra-atax,659
linear-algebra-bicg,563
linear-algebra-cholesky,1035
linear-algebra-durbin,487
linear-algebra-gemm,2927
linear-algebra-gemver,1013
linear-algebra-gesummv,511
linear-algebra-gramschmidt,6259
linear-algebra-lu,1719
linear-algebra-mvt,652
linear-algebra-symm,2162
linear-algebra-syr2k,5095
linear-algebra-syrk,3287
linear-algebra-trisolv,239
linear-algebra-trmm,3007
