benchmark,type,lut,dsp,latency,source
linear-algebra-3mm,hls,874,9,9651,results/04_08_00-08_2020
linear-algebra-3mm,hls_total,914,9,9651,results/04_08_00-08_2020
linear-algebra-3mm,futil,951,9,0,results/04_08_00-08_2020
linear-algebra-2mm,hls,731,12,8290,results/04_08_00-08_2020
linear-algebra-2mm,hls_total,771,12,8290,results/04_08_00-08_2020
linear-algebra-2mm,futil,770,12,0,results/04_08_00-08_2020
linear-algebra-trmm,hls,379,6,3377,results/04_08_00-08_2020
linear-algebra-trmm,hls_total,419,6,3377,results/04_08_00-08_2020
linear-algebra-trmm,futil,451,6,0,results/04_08_00-08_2020
linear-algebra-syr2k,hls,630,12,6421,results/04_08_00-08_2020
linear-algebra-syr2k,hls_total,670,12,6421,results/04_08_00-08_2020
linear-algebra-syr2k,futil,884,15,0,results/04_08_00-08_2020
linear-algebra-lu,hls,919,6,2137,results/04_08_00-08_2020
linear-algebra-lu,hls_total,959,6,2137,results/04_08_00-08_2020
linear-algebra-lu,futil,1945,6,0,results/04_08_00-08_2020
linear-algebra-syrk,hls,543,9,4249,results/04_08_00-08_2020
linear-algebra-syrk,hls_total,583,9,4249,results/04_08_00-08_2020
linear-algebra-syrk,futil,729,9,0,results/04_08_00-08_2020
linear-algebra-durbin,hls,1248,12,605,results/04_08_00-08_2020
linear-algebra-durbin,hls_total,1288,12,605,results/04_08_00-08_2020
linear-algebra-durbin,futil,2190,12,0,results/04_08_00-08_2020
linear-algebra-bicg,hls,397,6,410,results/04_08_00-08_2020
linear-algebra-bicg,hls_total,437,6,410,results/04_08_00-08_2020
linear-algebra-bicg,futil,584,6,0,results/04_08_00-08_2020
linear-algebra-atax,hls,457,6,802,results/04_08_00-08_2020
linear-algebra-atax,hls_total,497,6,802,results/04_08_00-08_2020
linear-algebra-atax,futil,614,6,0,results/04_08_00-08_2020
linear-algebra-gemm,hls,507,9,5145,results/04_08_00-08_2020
linear-algebra-gemm,hls_total,547,9,5145,results/04_08_00-08_2020
linear-algebra-gemm,futil,545,9,0,results/04_08_00-08_2020
dot-product,hls,123,3,49,results/04_08_00-08_2020
dot-product,hls_total,163,3,49,results/04_08_00-08_2020
dot-product,futil,196,3,0,results/04_08_00-08_2020
linear-algebra-gemver,hls,963,18,1676,results/04_08_00-08_2020
linear-algebra-gemver,hls_total,1003,18,1676,results/04_08_00-08_2020
linear-algebra-gemver,futil,1136,18,0,results/04_08_00-08_2020
linear-algebra-cholesky,hls,4637,6,2449,results/04_08_00-08_2020
linear-algebra-cholesky,hls_total,4677,6,2449,results/04_08_00-08_2020
linear-algebra-cholesky,futil,2098,6,0,results/04_08_00-08_2020
linear-algebra-mvt,hls,418,6,802,results/04_08_00-08_2020
linear-algebra-mvt,hls_total,458,6,802,results/04_08_00-08_2020
linear-algebra-mvt,futil,486,6,0,results/04_08_00-08_2020
linear-algebra-gramschmidt,hls,5016,9,13669,results/04_08_00-08_2020
linear-algebra-gramschmidt,hls_total,5056,9,13669,results/04_08_00-08_2020
linear-algebra-gramschmidt,futil,2231,9,0,results/04_08_00-08_2020

