benchmark,type,lut,dsp,latency,meet_timing,source
linear-algebra-trmm,hls,319,6,1553,1,results/18_12_51-08_2020/
linear-algebra-trmm,hls_total,359,6,1553,1,results/18_12_51-08_2020/
linear-algebra-trmm,futil,280,6,0,1,results/18_12_51-08_2020/
linear-algebra-syr2k,hls,726,9,3712,1,results/18_12_51-08_2020/
linear-algebra-syr2k,hls_total,766,9,3712,1,results/18_12_51-08_2020/
linear-algebra-syr2k,futil,2773,15,0,1,results/18_12_51-08_2020/
linear-algebra-syrk,hls,641,9,2631,1,results/18_12_51-08_2020/
linear-algebra-syrk,hls_total,681,9,2631,1,results/18_12_51-08_2020/
linear-algebra-syrk,futil,1495,9,0,1,results/18_12_51-08_2020/
linear-algebra-ludcmp,hls,1594,12,1603,1,results/18_12_51-08_2020/
linear-algebra-ludcmp,hls_total,1634,12,1603,1,results/18_12_51-08_2020/
linear-algebra-ludcmp,futil,1180,12,0,1,results/18_12_51-08_2020/
linear-algebra-cholesky,hls,802,6,1049,1,results/18_12_51-08_2020/
linear-algebra-cholesky,hls_total,842,6,1049,1,results/18_12_51-08_2020/
linear-algebra-cholesky,futil,614,6,0,1,results/18_12_51-08_2020/
linear-algebra-gramschmidt,hls,1662,9,8605,1,results/18_12_51-08_2020/
linear-algebra-gramschmidt,hls_total,1702,9,8605,1,results/18_12_51-08_2020/
linear-algebra-gramschmidt,futil,4511,9,0,1,results/18_12_51-08_2020/

