benchmark,latency
linear-algebra-2mm,25334
linear-algebra-3mm,28457
linear-algebra-atax,3617
linear-algebra-bicg,1876
linear-algebra-cholesky,3222
linear-algebra-durbin,1412
linear-algebra-gemm,14484
linear-algebra-gemver,5918
linear-algebra-gesummv,3996
linear-algebra-gramschmidt,27641
linear-algebra-ludcmp,5797
linear-algebra-lu,4391
linear-algebra-mvt,3025
linear-algebra-symm,15249
linear-algebra-syr2k,26888
linear-algebra-syrk,18785
linear-algebra-trisolv,664
linear-algebra-trmm,8047
