benchmark,type,key,value
gesummv,none,lut,2035
gesummv,none,dsp,12
gesummv,none,meet_timing,1
gesummv,none,registers,289
gesummv,none,muxes,348
gesummv,none,clb_registers,5172
gesummv,none,carry8,20
gesummv,none,f7_muxes,512
gesummv,none,f8_muxes,256
gesummv,none,f9_muxes,0
gesummv,none,clb,7995
gesummv,none,cell_lut1,4
gesummv,none,cell_lut2,341
gesummv,none,cell_lut3,260
gesummv,none,cell_lut4,144
gesummv,none,cell_lut5,54
gesummv,none,cell_lut6,1498
gesummv,none,cell_fdre,5172
syr2k,none,lut,2633
syr2k,none,dsp,15
syr2k,none,meet_timing,1
syr2k,none,registers,329
syr2k,none,muxes,373
syr2k,none,clb_registers,7042
syr2k,none,carry8,18
syr2k,none,f7_muxes,640
syr2k,none,f8_muxes,64
syr2k,none,f9_muxes,0
syr2k,none,clb,10397
syr2k,none,cell_lut1,10
syr2k,none,cell_lut2,244
syr2k,none,cell_lut3,352
syr2k,none,cell_lut4,116
syr2k,none,cell_lut5,49
syr2k,none,cell_lut6,2163
syr2k,none,cell_fdre,7042
ludcmp,none,lut,1333
ludcmp,none,dsp,12
ludcmp,none,meet_timing,1
ludcmp,none,registers,164
ludcmp,none,muxes,201
ludcmp,none,clb_registers,1382
ludcmp,none,carry8,44
ludcmp,none,f7_muxes,0
ludcmp,none,f8_muxes,0
ludcmp,none,f9_muxes,0
ludcmp,none,clb,2759
ludcmp,none,cell_lut1,11
ludcmp,none,cell_lut2,385
ludcmp,none,cell_lut3,86
ludcmp,none,cell_lut4,348
ludcmp,none,cell_lut5,237
ludcmp,none,cell_lut6,548
ludcmp,none,cell_fdre,1380
gemver,none,lut,1994
gemver,none,dsp,18
gemver,none,meet_timing,1
gemver,none,registers,341
gemver,none,muxes,404
gemver,none,clb_registers,3822
gemver,none,carry8,32
gemver,none,f7_muxes,256
gemver,none,f8_muxes,128
gemver,none,f9_muxes,0
gemver,none,clb,6232
gemver,none,cell_lut1,28
gemver,none,cell_lut2,749
gemver,none,cell_lut3,535
gemver,none,cell_lut4,199
gemver,none,cell_lut5,177
gemver,none,cell_lut6,826
gemver,none,cell_fdre,3822
gemm,none,lut,2401
gemm,none,dsp,9
gemm,none,meet_timing,1
gemm,none,registers,306
gemm,none,muxes,369
gemm,none,clb_registers,6806
gemm,none,carry8,10
gemm,none,f7_muxes,768
gemm,none,f8_muxes,384
gemm,none,f9_muxes,0
gemm,none,clb,10369
gemm,none,cell_lut1,5
gemm,none,cell_lut2,74
gemm,none,cell_lut3,166
gemm,none,cell_lut4,102
gemm,none,cell_lut5,93
gemm,none,cell_lut6,2114
gemm,none,cell_fdre,6806
3mm,none,lut,500
3mm,none,dsp,9
3mm,none,meet_timing,1
3mm,none,registers,101
3mm,none,muxes,149
3mm,none,clb_registers,627
3mm,none,carry8,18
3mm,none,f7_muxes,0
3mm,none,f8_muxes,0
3mm,none,f9_muxes,0
3mm,none,clb,1145
3mm,none,cell_lut1,2
3mm,none,cell_lut2,346
3mm,none,cell_lut3,248
3mm,none,cell_lut4,44
3mm,none,cell_lut5,71
3mm,none,cell_lut6,90
3mm,none,cell_fdre,627
atax,none,lut,1125
atax,none,dsp,6
atax,none,meet_timing,1
atax,none,registers,173
atax,none,muxes,227
atax,none,clb_registers,2655
atax,none,carry8,12
atax,none,f7_muxes,256
atax,none,f8_muxes,128
atax,none,f9_muxes,0
atax,none,clb,4176
atax,none,cell_lut1,2
atax,none,cell_lut2,258
atax,none,cell_lut3,158
atax,none,cell_lut4,105
atax,none,cell_lut5,54
atax,none,cell_lut6,758
atax,none,cell_fdre,2655
gramschmidt,none,lut,4458
gramschmidt,none,dsp,9
gramschmidt,none,meet_timing,1
gramschmidt,none,registers,531
gramschmidt,none,muxes,644
gramschmidt,none,clb_registers,11992
gramschmidt,none,carry8,29
gramschmidt,none,f7_muxes,1312
gramschmidt,none,f8_muxes,288
gramschmidt,none,f9_muxes,0
gramschmidt,none,clb,18079
gramschmidt,none,cell_lut1,15
gramschmidt,none,cell_lut2,344
gramschmidt,none,cell_lut3,247
gramschmidt,none,cell_lut4,288
gramschmidt,none,cell_lut5,191
gramschmidt,none,cell_lut6,3695
gramschmidt,none,cell_fdre,11990
symm,none,lut,715
symm,none,dsp,21
symm,none,meet_timing,1
symm,none,registers,117
symm,none,muxes,111
symm,none,clb_registers,1020
symm,none,carry8,30
symm,none,f7_muxes,0
symm,none,f8_muxes,0
symm,none,f9_muxes,0
symm,none,clb,1765
symm,none,cell_lut1,2
symm,none,cell_lut2,224
symm,none,cell_lut3,371
symm,none,cell_lut4,122
symm,none,cell_lut5,33
symm,none,cell_lut6,257
symm,none,cell_fdre,1020
trisolv,none,lut,313
trisolv,none,dsp,3
trisolv,none,meet_timing,1
trisolv,none,registers,46
trisolv,none,muxes,72
trisolv,none,clb_registers,502
trisolv,none,carry8,10
trisolv,none,f7_muxes,0
trisolv,none,f8_muxes,0
trisolv,none,f9_muxes,0
trisolv,none,clb,825
trisolv,none,cell_lut1,2
trisolv,none,cell_lut2,109
trisolv,none,cell_lut3,108
trisolv,none,cell_lut4,70
trisolv,none,cell_lut5,28
trisolv,none,cell_lut6,99
trisolv,none,cell_fdre,501
trmm,none,lut,281
trmm,none,dsp,6
trmm,none,meet_timing,1
trmm,none,registers,50
trmm,none,muxes,65
trmm,none,clb_registers,367
trmm,none,carry8,8
trmm,none,f7_muxes,0
trmm,none,f8_muxes,0
trmm,none,f9_muxes,0
trmm,none,clb,656
trmm,none,cell_lut1,-1
trmm,none,cell_lut2,79
trmm,none,cell_lut3,106
trmm,none,cell_lut4,51
trmm,none,cell_lut5,27
trmm,none,cell_lut6,108
trmm,none,cell_fdre,367
doitgen,none,lut,221
doitgen,none,dsp,3
doitgen,none,meet_timing,1
doitgen,none,registers,49
doitgen,none,muxes,73
doitgen,none,clb_registers,261
doitgen,none,carry8,6
doitgen,none,f7_muxes,0
doitgen,none,f8_muxes,0
doitgen,none,f9_muxes,0
doitgen,none,clb,488
doitgen,none,cell_lut1,2
doitgen,none,cell_lut2,133
doitgen,none,cell_lut3,114
doitgen,none,cell_lut4,32
doitgen,none,cell_lut5,29
doitgen,none,cell_lut6,39
doitgen,none,cell_fdre,261
durbin,none,lut,888
durbin,none,dsp,12
durbin,none,meet_timing,1
durbin,none,registers,111
durbin,none,muxes,140
durbin,none,clb_registers,944
durbin,none,carry8,42
durbin,none,f7_muxes,0
durbin,none,f8_muxes,0
durbin,none,f9_muxes,0
durbin,none,clb,1874
durbin,none,cell_lut1,3
durbin,none,cell_lut2,295
durbin,none,cell_lut3,175
durbin,none,cell_lut4,178
durbin,none,cell_lut5,214
durbin,none,cell_lut6,202
durbin,none,cell_fdre,943
cholesky,none,lut,634
cholesky,none,dsp,6
cholesky,none,meet_timing,1
cholesky,none,registers,85
cholesky,none,muxes,100
cholesky,none,clb_registers,798
cholesky,none,carry8,25
cholesky,none,f7_muxes,0
cholesky,none,f8_muxes,0
cholesky,none,f9_muxes,0
cholesky,none,clb,1457
cholesky,none,cell_lut1,6
cholesky,none,cell_lut2,201
cholesky,none,cell_lut3,103
cholesky,none,cell_lut4,148
cholesky,none,cell_lut5,118
cholesky,none,cell_lut6,224
cholesky,none,cell_fdre,796
syrk,none,lut,1503
syrk,none,dsp,9
syrk,none,meet_timing,1
syrk,none,registers,192
syrk,none,muxes,243
syrk,none,clb_registers,3660
syrk,none,carry8,10
syrk,none,f7_muxes,320
syrk,none,f8_muxes,32
syrk,none,f9_muxes,0
syrk,none,clb,5525
syrk,none,cell_lut1,6
syrk,none,cell_lut2,97
syrk,none,cell_lut3,77
syrk,none,cell_lut4,106
syrk,none,cell_lut5,50
syrk,none,cell_lut6,1273
syrk,none,cell_fdre,3660
2mm,none,lut,3978
2mm,none,dsp,12
2mm,none,meet_timing,1
2mm,none,registers,477
2mm,none,muxes,603
2mm,none,clb_registers,11295
2mm,none,carry8,16
2mm,none,f7_muxes,1280
2mm,none,f8_muxes,640
2mm,none,f9_muxes,0
2mm,none,clb,17209
2mm,none,cell_lut1,-1
2mm,none,cell_lut2,265
2mm,none,cell_lut3,225
2mm,none,cell_lut4,206
2mm,none,cell_lut5,143
2mm,none,cell_lut6,3435
2mm,none,cell_fdre,11295
mvt,none,lut,1180
mvt,none,dsp,6
mvt,none,meet_timing,1
mvt,none,registers,187
mvt,none,muxes,244
mvt,none,clb_registers,2730
mvt,none,carry8,12
mvt,none,f7_muxes,256
mvt,none,f8_muxes,128
mvt,none,f9_muxes,0
mvt,none,clb,4306
mvt,none,cell_lut1,2
mvt,none,cell_lut2,254
mvt,none,cell_lut3,227
mvt,none,cell_lut4,122
mvt,none,cell_lut5,57
