benchmark,type,key,value
durbin,all,clb_registers,784
durbin,all,carry8,26
durbin,all,f7_muxes,0
durbin,all,f8_muxes,0
durbin,all,f9_muxes,0
durbin,all,clb,1588
durbin,all,cell_lut1,6
durbin,all,cell_lut2,357
durbin,all,cell_lut3,107
durbin,all,cell_lut4,134
durbin,all,cell_lut5,162
durbin,all,cell_lut6,255
durbin,all,cell_fdre,783
cholesky,all,lut,581
cholesky,all,dsp,6
cholesky,all,meet_timing,1
cholesky,all,registers,73
cholesky,all,muxes,89
cholesky,all,clb_registers,632
cholesky,all,carry8,21
cholesky,all,f7_muxes,0
cholesky,all,f8_muxes,0
cholesky,all,f9_muxes,0
cholesky,all,clb,1234
cholesky,all,cell_lut1,6
cholesky,all,cell_lut2,167
cholesky,all,cell_lut3,69
cholesky,all,cell_lut4,128
cholesky,all,cell_lut5,112
cholesky,all,cell_lut6,234
cholesky,all,cell_fdre,630
syrk,all,lut,1585
syrk,all,dsp,9
syrk,all,meet_timing,1
syrk,all,registers,172
syrk,all,muxes,201
syrk,all,clb_registers,3475
syrk,all,carry8,10
syrk,all,f7_muxes,320
syrk,all,f8_muxes,0
syrk,all,f9_muxes,0
syrk,all,clb,5390
syrk,all,cell_lut1,3
syrk,all,cell_lut2,87
syrk,all,cell_lut3,52
syrk,all,cell_lut4,105
syrk,all,cell_lut5,118
syrk,all,cell_lut6,1314
syrk,all,cell_fdre,3475
2mm,all,lut,4122
2mm,all,dsp,12
2mm,all,meet_timing,1
2mm,all,registers,431
2mm,all,muxes,504
2mm,all,clb_registers,10748
2mm,all,carry8,12
2mm,all,f7_muxes,1280
2mm,all,f8_muxes,504
2mm,all,f9_muxes,0
2mm,all,clb,16666
2mm,all,cell_lut1,9
2mm,all,cell_lut2,261
2mm,all,cell_lut3,202
2mm,all,cell_lut4,332
2mm,all,cell_lut5,179
2mm,all,cell_lut6,3501
2mm,all,cell_fdre,10748
mvt,all,lut,1364
mvt,all,dsp,6
mvt,all,meet_timing,1
mvt,all,registers,157
mvt,all,muxes,200
mvt,all,clb_registers,2385
mvt,all,carry8,8
mvt,all,f7_muxes,256
mvt,all,f8_muxes,0
mvt,all,f9_muxes,0
mvt,all,clb,4013
mvt,all,cell_lut1,-1
mvt,all,cell_lut2,156
mvt,all,cell_lut3,198
mvt,all,cell_lut4,149
mvt,all,cell_lut5,168
mvt,all,cell_lut6,841
mvt,all,cell_fdre,2385
lu,all,lut,465
lu,all,dsp,6
lu,all,meet_timing,1
lu,all,registers,67
lu,all,muxes,97
lu,all,clb_registers,545
lu,all,carry8,16
lu,all,f7_muxes,0
lu,all,f8_muxes,0
lu,all,f9_muxes,0
lu,all,clb,1026
lu,all,cell_lut1,5
lu,all,cell_lut2,259
lu,all,cell_lut3,49
lu,all,cell_lut4,112
lu,all,cell_lut5,113
lu,all,cell_lut6,115
lu,all,cell_fdre,544
bicg,all,lut,314
bicg,all,dsp,6
bicg,all,meet_timing,1
bicg,all,registers,54
bicg,all,muxes,68
bicg,all,clb_registers,364
bicg,all,carry8,8
bicg,all,f7_muxes,0
bicg,all,f8_muxes,0
bicg,all,f9_muxes,0
bicg,all,clb,686
bicg,all,cell_lut1,2
bicg,all,cell_lut2,111
bicg,all,cell_lut3,70
bicg,all,cell_lut4,46
bicg,all,cell_lut5,37
bicg,all,cell_lut6,140
bicg,all,cell_fdre,364
