benchmark,type,lut,dsp,latency,meet_timing,source
linear-algebra-3mm,hls,874,9,9651,1,results/08_10_08-08_2020
linear-algebra-3mm,hls_total,914,9,9651,1,results/08_10_08-08_2020
linear-algebra-3mm,futil,951,9,0,1,results/08_10_08-08_2020
linear-algebra-symm,hls,765,18,3025,1,results/08_10_08-08_2020
linear-algebra-symm,hls_total,805,18,3025,1,results/08_10_08-08_2020
linear-algebra-symm,futil,938,21,0,1,results/08_10_08-08_2020
linear-algebra-2mm,hls,731,12,8290,1,results/08_10_08-08_2020
linear-algebra-2mm,hls_total,771,12,8290,1,results/08_10_08-08_2020
linear-algebra-2mm,futil,841,12,0,1,results/08_10_08-08_2020
linear-algebra-trmm,hls,379,6,3377,1,results/08_10_08-08_2020
linear-algebra-trmm,hls_total,419,6,3377,1,results/08_10_08-08_2020
linear-algebra-trmm,futil,403,6,0,1,results/08_10_08-08_2020
linear-algebra-syr2k,hls,630,12,6421,1,results/08_10_08-08_2020
linear-algebra-syr2k,hls_total,670,12,6421,1,results/08_10_08-08_2020
linear-algebra-syr2k,futil,772,15,0,0,results/08_10_08-08_2020
linear-algebra-lu,hls,919,6,2137,1,results/08_10_08-08_2020
linear-algebra-lu,hls_total,959,6,2137,1,results/08_10_08-08_2020
linear-algebra-lu,futil,772,6,0,1,results/08_10_08-08_2020
linear-algebra-syrk,hls,543,9,4249,1,results/08_10_08-08_2020
linear-algebra-syrk,hls_total,583,9,4249,1,results/08_10_08-08_2020
linear-algebra-syrk,futil,585,9,0,1,results/08_10_08-08_2020
linear-algebra-durbin,hls,1170,12,605,1,results/08_10_08-08_2020
linear-algebra-durbin,hls_total,1210,12,605,1,results/08_10_08-08_2020
linear-algebra-durbin,futil,1197,12,0,1,results/08_10_08-08_2020
linear-algebra-trisolv,hls,625,3,521,1,results/08_10_08-08_2020
linear-algebra-trisolv,hls_total,665,3,521,1,results/08_10_08-08_2020
linear-algebra-trisolv,futil,416,3,0,1,results/08_10_08-08_2020
linear-algebra-bicg,hls,397,6,410,1,results/08_10_08-08_2020
linear-algebra-bicg,hls_total,437,6,410,1,results/08_10_08-08_2020
linear-algebra-bicg,futil,514,6,0,1,results/08_10_08-08_2020
linear-algebra-atax,hls,457,6,802,1,results/08_10_08-08_2020
linear-algebra-atax,hls_total,497,6,802,1,results/08_10_08-08_2020
linear-algebra-atax,futil,645,6,0,1,results/08_10_08-08_2020
linear-algebra-gesummv,hls,507,12,441,1,results/08_10_08-08_2020
linear-algebra-gesummv,hls_total,547,12,441,1,results/08_10_08-08_2020
linear-algebra-gesummv,futil,634,12,0,1,results/08_10_08-08_2020
linear-algebra-gemm,hls,507,9,5145,1,results/08_10_08-08_2020
linear-algebra-gemm,hls_total,547,9,5145,1,results/08_10_08-08_2020
linear-algebra-gemm,futil,597,9,0,1,results/08_10_08-08_2020
dot-product,hls,123,3,49,1,results/08_10_08-08_2020
dot-product,hls_total,163,3,49,1,results/08_10_08-08_2020
dot-product,futil,230,3,0,1,results/08_10_08-08_2020
linear-algebra-gemver,hls,963,18,1676,1,results/08_10_08-08_2020
linear-algebra-gemver,hls_total,1003,18,1676,1,results/08_10_08-08_2020
linear-algebra-gemver,futil,1293,18,0,1,results/08_10_08-08_2020
linear-algebra-cholesky,hls,863,6,1881,1,results/08_10_08-08_2020
linear-algebra-cholesky,hls_total,903,6,1881,1,results/08_10_08-08_2020
linear-algebra-cholesky,futil,960,6,0,0,results/08_10_08-08_2020
linear-algebra-mvt,hls,418,6,802,1,results/08_10_08-08_2020
linear-algebra-mvt,hls_total,458,6,802,1,results/08_10_08-08_2020
linear-algebra-mvt,futil,605,6,0,1,results/08_10_08-08_2020
linear-algebra-gramschmidt,hls,1252,9,12841,1,results/08_10_08-08_2020
linear-algebra-gramschmidt,hls_total,1292,9,12841,1,results/08_10_08-08_2020
linear-algebra-gramschmidt,futil,1224,9,0,0,results/08_10_08-08_2020

